name,type,set_name,set_code,set_rarity
Number 5: Doom Chimera Dragon,XYZ Monster,Dark Neostorm,DANE-EN092,Super Rare (SR)
Number 60: Dugares the Timeless,XYZ Monster,Battles of Legend: Hero's Revenge,BLHR-EN028,Ultra Rare (UR)
Number 61: Volcasaurus,XYZ Monster,Premium Gold: Infinite Gold,PGL3-EN073,Gold Rare (GUR)
Number 61: Volcasaurus,XYZ Monster,Zexal Collection Tin,ZTIN-EN002,Ultra Rare (UR)
Number 62: Galaxy-Eyes Prime Photon Dragon,XYZ Monster,2015 Mega-Tin Mega Pack,MP15-EN022,Ultra Rare (UR)
Number 62: Galaxy-Eyes Prime Photon Dragon,XYZ Monster,Battles of Legend: Light's Revenge,BLLR-EN070,Ultra Rare (UR)
Number 62: Galaxy-Eyes Prime Photon Dragon,XYZ Monster,Primal Origin,PRIO-EN040,Ultimate Rare (UtR)
Number 62: Galaxy-Eyes Prime Photon Dragon,XYZ Monster,Primal Origin,PRIO-EN040,Ultra Rare (UR)
Number 63: Shamoji Soldier,XYZ Monster,Number Hunters,NUMH-EN031,Super Rare (SR)
Number 64: Ronin Raccoon Sandayu,XYZ Monster,2014 Mega-Tin Mega Pack,MP14-EN161,Rare (R)
Number 64: Ronin Raccoon Sandayu,XYZ Monster,Shadow Specters,SHSP-EN051,Rare (R)
Number 65: Djinn Buster,XYZ Monster,Shadow Specters,SHSP-EN047,Rare (R)
Number 66: Master Key Beetle,XYZ Monster,2014 Mega-Tin Mega Pack,MP14-EN099,Super Rare (SR)
Number 66: Master Key Beetle,XYZ Monster,Judgment of the Light,JOTL-EN054,Super Rare (SR)
Number 66: Master Key Beetle,XYZ Monster,Wing Raiders,WIRA-EN045,Common (C)
Number 67: Pair-a-Dice Smasher,XYZ Monster,Battles of Legend: Relentless Revenge,BLRR-EN031,Secret Rare (ScR)
Number 68: Sanaphond the Sky Prison,XYZ Monster,2017 Mega-Tins,CT14-EN008,Super Rare (SR)
Number 68: Sanaphond the Sky Prison,XYZ Monster,Toon Chaos,TOCH-EN051,Rare (R)
Number 69: Heraldry Crest,XYZ Monster,Lord of the Tachyon Galaxy,LTGY-EN092,Rare (R)
Number 6: Chronomaly Atlandis,XYZ Monster,Return of the Duelist,REDU-EN092,Secret Rare (ScR)
Number 6: Chronomaly Atlandis,XYZ Monster,Super Starter Power-Up Pack,YS13-ENV11,Common (C)
Number 70: Malevolent Sin,XYZ Monster,Duelist Saga,DUSA-EN014,Ultra Rare (UR)
Number 71: Rebarian Shark,XYZ Monster,2017 Mega-Tins,CT14-EN005,Super Rare (SR)
Number 72: Shogi Rook,XYZ Monster,Yu-Gi-Oh! ZEXAL Volume 5 promotional card,YZ05-EN001,Ultra Rare (UR)
Number 73: Abyss Splash,XYZ Monster,Dragons of Legend,DRLG-EN040,Super Rare (SR)
Number 73: Abyss Splash,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN042,Common (C)
Number 74: Master of Blades,XYZ Monster,Maximum Gold,MAGO-EN058,Rare (R)
Number 74: Master of Blades,XYZ Monster,Number Hunters,NUMH-EN032,Secret Rare (ScR)
Number 75: Bamboozling Gossip Shadow,XYZ Monster,Battles of Legend: Relentless Revenge,BLRR-EN032,Secret Rare (ScR)
Number 75: Bamboozling Gossip Shadow,XYZ Monster,Toon Chaos,TOCH-EN052,Super Rare (SR)
Number 76: Harmonizer Gradielle,XYZ Monster,Battles of Legend: Hero's Revenge,BLHR-EN029,Ultra Rare (UR)
Number 77: The Seven Sins,XYZ Monster,Premium Gold: Infinite Gold,PGL3-EN011,Gold Secret Rare (GScR)
Number 78: Number Archive,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN122,Common (C)
Number 78: Number Archive,XYZ Monster,Dragons of Legend: Unleashed,DRL3-EN026,Ultra Rare (UR)
Number 79: Battlin' Boxer Nova Kaiser,XYZ Monster,World Superstars,WSUP-EN014,Super Rare (SR)
Number 7: Lucky Straight,XYZ Monster,Galactic Overlord,GAOV-EN091,Secret Rare (ScR)
Number 7: Lucky Straight,XYZ Monster,Star Pack 2014,SP14-EN027,Common (C)
Number 7: Lucky Straight,XYZ Monster,Star Pack 2014,SP14-EN027,Starfoil Rare (SFR)
Number 80: Rhapsody in Berserk,XYZ Monster,Astral Pack Six,AP06-EN010,Super Rare (SR)
Number 80: Rhapsody in Berserk,XYZ Monster,Primal Origin,PRIO-EN045,Rare (R)
Number 81: Superdreadnought Rail Cannon Super Dora,XYZ Monster,OTS Tournament Pack 10,OP10-EN019,Common (C)
Number 81: Superdreadnought Rail Cannon Super Dora,XYZ Monster,OTS Tournament Pack 10 (POR),OP10-PT019,Common (C)
Number 81: Superdreadnought Rail Cannon Super Dora,XYZ Monster,The Dark Illusion,TDIL-EN091,Super Rare (SR)
Number 82: Heartlandraco,XYZ Monster,Premium Gold,PGLD-EN025,Gold Secret Rare (GScR)
Number 82: Heartlandraco,XYZ Monster,Yu-Gi-Oh! Advent Calendar (2018),AC18-EN011,Super Rare (SR)
Number 83: Galaxy Queen,XYZ Monster,Duel Terminal 7b,DT07-EN085,Duel Terminal Normal Parallel (DNPR)
Number 83: Galaxy Queen,XYZ Monster,Duel Terminal 7b,DT07-EN085,Duel Terminal Normal Parallel Rare (DNPR)
Number 83: Galaxy Queen,XYZ Monster,Photon Shockwave,PHSW-EN039,Super Rare (SR)
Number 83: Galaxy Queen,XYZ Monster,Star Pack 2013,SP13-EN028,Common (C)
Number 83: Galaxy Queen,XYZ Monster,Star Pack 2013,SP13-EN028,Starfoil Rare (SFR)
Number 84: Pain Gainer,XYZ Monster,Premium Gold: Infinite Gold,PGL3-EN010,Gold Secret Rare (GScR)
Number 85: Crazy Box,XYZ Monster,Number Hunters,NUMH-EN033,Super Rare (SR)
Number 86: Heroic Champion - Rhongomyniad,XYZ Monster,Legendary Hero Decks,LEHD-ENC37,Ultra Rare (UR)
Number 86: Heroic Champion - Rhongomyniad,XYZ Monster,World Superstars,WSUP-EN022,Prismatic Secret Rare (PScR)
Number 87: Queen of the Night,XYZ Monster,Maximum Gold,MAGO-EN059,Rare (R)
Number 87: Queen of the Night,XYZ Monster,Number Hunters,NUMH-EN034,Super Rare (SR)
Number 88: Gimmick Puppet of Leo,XYZ Monster,2013 Collectible Tins Wave 2,CT10-EN013,Super Rare (SR)
Number 88: Gimmick Puppet of Leo,XYZ Monster,Weekly Shonen Jump March 2013 membership promotional card,JUMP-EN064,Ultra Rare (UR)
Number 89: Diablosis the Mind Hacker,XYZ Monster,Yu-Gi-Oh! Championship Series 2017 prize card,YCSW-EN010,Super Rare (SR)
Number 89: Diablosis the Mind Hacker,XYZ Monster,Yu-Gi-Oh! Championship Series 2017 prize card,YCSW-EN010,Ultra Rare (UR)
Number 8: Heraldic King Genom-Heritage,XYZ Monster,Abyss Rising,ABYR-EN045,Super Rare (SR)
Number 90: Galaxy-Eyes Photon Lord,XYZ Monster,Battles of Legend: Relentless Revenge,BLRR-EN033,Secret Rare (ScR)
Number 91: Thunder Spark Dragon,XYZ Monster,Return of the Duelist,REDU-EN098,Ultimate Rare (UtR)
Number 91: Thunder Spark Dragon,XYZ Monster,Return of the Duelist,REDU-EN098,Ultra Rare (UR)
Number 92: Heart-eartH Dragon,XYZ Monster,Cosmo Blazer,CBLZ-EN045,Ghost Rare (GR)
Number 92: Heart-eartH Dragon,XYZ Monster,Cosmo Blazer,CBLZ-EN045,Ultimate Rare (UtR)
Number 92: Heart-eartH Dragon,XYZ Monster,Cosmo Blazer,CBLZ-EN045,Ultra Rare (UR)
Number 93: Utopia Kaiser,XYZ Monster,Battles of Legend: Hero's Revenge,BLHR-EN093,Secret Rare (ScR)
Number 93: Utopia Kaiser,XYZ Monster,Yu-Gi-Oh! Championship Series 2016 Prize Card,YCSW-EN009,Super Rare (SR)
Number 93: Utopia Kaiser,XYZ Monster,Yu-Gi-Oh! Championship Series 2016 Prize Card,YCSW-EN009,Ultra Rare (UR)
Number 94: Crystalzero,XYZ Monster,Duelist Saga,DUSA-EN006,Ultra Rare (UR)
Number 95: Galaxy-Eyes Dark Matter Dragon,XYZ Monster,Premium Gold: Return of the Bling,PGL2-EN015,Gold Secret Rare (GScR)
Number 96: Dark Mist,XYZ Monster,Order of Chaos,ORCS-EN043,Ultimate Rare (UtR)
Number 96: Dark Mist,XYZ Monster,Order of Chaos,ORCS-EN043,Ultra Rare (UR)
Number 96: Dark Mist,XYZ Monster,Star Pack 2013,SP13-EN031,Common (C)
Number 96: Dark Mist,XYZ Monster,Star Pack 2013,SP13-EN031,Starfoil Rare (SFR)
Number 97: Draglubion,XYZ Monster,Battles of Legend: Hero's Revenge,BLHR-EN030,Secret Rare (ScR)
Number 98: Antitopian,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN123,Common (C)
Number 98: Antitopian,XYZ Monster,Dragons of Legend: Unleashed,DRL3-EN027,Secret Rare (ScR)
Number 99: Utopic Dragon,XYZ Monster,2015 Mega-Tin Mega Pack,MP15-EN190,Secret Rare (ScR)
Number 99: Utopic Dragon,XYZ Monster,The New Challengers,NECH-EN099,Secret Rare (ScR)
Number 9: Dyson Sphere,XYZ Monster,Abyss Rising,ABYR-EN044,Ultimate Rare (UtR)
Number 9: Dyson Sphere,XYZ Monster,Abyss Rising,ABYR-EN044,Ultra Rare (UR)
Number C101: Silent Honor DARK,XYZ Monster,2014 Mega-Tin Mega Pack,MP14-EN218,Ultra Rare (UR)
Number C101: Silent Honor DARK,XYZ Monster,Legacy of the Valiant,LVAL-EN046,Ultimate Rare (UtR)
Number C101: Silent Honor DARK,XYZ Monster,Legacy of the Valiant,LVAL-EN046,Ultra Rare (UR)
Number C101: Silent Honor DARK,XYZ Monster,Maximum Gold,MAGO-EN061,Rare (R)
Number C102: Archfiend Seraph,XYZ Monster,2015 Mega-Tin Mega Pack,MP15-EN024,Super Rare (SR)
Number C102: Archfiend Seraph,XYZ Monster,Primal Origin,PRIO-EN044,Super Rare (SR)
Number C102: Archfiend Seraph,XYZ Monster,Primal Origin,PRIO-EN044,Ultimate Rare (UtR)
Number C103: Ragnafinity,XYZ Monster,Primal Origin,PRIO-EN043,Rare (R)
Number C104: Umbral Horror Masquerade,XYZ Monster,Judgment of the Light,JOTL-EN056,Super Rare (SR)
Number C104: Umbral Horror Masquerade,XYZ Monster,Judgment of the Light,JOTL-EN056,Ultimate Rare (UtR)
Number C105: Battlin' Boxer Comet Cestus,XYZ Monster,2014 Mega-Tin Mega Pack,MP14-EN029,Ultra Rare (UR)
Number C105: Battlin' Boxer Comet Cestus,XYZ Monster,Lord of the Tachyon Galaxy,LTGY-EN052,Ultimate Rare (UtR)
Number C105: Battlin' Boxer Comet Cestus,XYZ Monster,Lord of the Tachyon Galaxy,LTGY-EN052,Ultra Rare (UR)
Number C106: Giant Red Hand,XYZ Monster,Dragons of Legend,DRLG-EN049,Super Rare (SR)
Number C106: Giant Red Hand,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN051,Common (C)
Number C107: Neo Galaxy-Eyes Tachyon Dragon,XYZ Monster,2015 Mega-Tin Mega Pack,MP15-EN023,Super Rare (SR)
Number C107: Neo Galaxy-Eyes Tachyon Dragon,XYZ Monster,Primal Origin,PRIO-EN041,Super Rare (SR)
Number C107: Neo Galaxy-Eyes Tachyon Dragon,XYZ Monster,Primal Origin,PRIO-EN041,Ultimate Rare (UtR)
Number C15: Gimmick Puppet Giant Hunter,XYZ Monster,Premium Gold,PGLD-EN019,Gold Secret Rare (GScR)
Number C1: Numeron Chaos Gate Sunya,XYZ Monster,Battles of Legend: Armageddon,BLAR-EN021,Secret Rare (ScR)
Number C32: Shark Drake Veiss,XYZ Monster,Abyss Rising,ABYR-EN039,Ghost Rare (GR)
Number C32: Shark Drake Veiss,XYZ Monster,Abyss Rising,ABYR-EN039,Ultimate Rare (UtR)
Number C32: Shark Drake Veiss,XYZ Monster,Abyss Rising,ABYR-EN039,Ultra Rare (UR)
Number C39: Utopia Ray,XYZ Monster,Order of Chaos,ORCS-EN040,Ghost Rare (GR)
Number C39: Utopia Ray,XYZ Monster,Order of Chaos,ORCS-EN040,Ultimate Rare (UtR)
Number C39: Utopia Ray,XYZ Monster,Order of Chaos,ORCS-EN040,Ultra Rare (UR)
Number C39: Utopia Ray,XYZ Monster,Star Pack 2014,SP14-EN022,Common (C)
Number C39: Utopia Ray,XYZ Monster,Star Pack 2014,SP14-EN022,Starfoil Rare (SFR)
Number C39: Utopia Ray,XYZ Monster,Super Starter: V for Victory,YS13-EN042,Ultra Rare (UR)
Number C39: Utopia Ray V,XYZ Monster,Super Starter Power-Up Pack,YS13-ENV01,Ultra Rare (UR)
Number C39: Utopia Ray Victory,XYZ Monster,Judgment of the Light,JOTL-EN048,Super Rare (SR)
Number C39: Utopia Ray Victory,XYZ Monster,Judgment of the Light,JOTL-EN048,Ultimate Rare (UtR)
Number C40: Gimmick Puppet of Dark Strings,XYZ Monster,Premium Gold,PGLD-EN020,Gold Secret Rare (GScR)
Number C43: High Manipulator of Chaos,XYZ Monster,2015 Mega-Tin Mega Pack,MP15-EN026,Rare (R)
Number C43: High Manipulator of Chaos,XYZ Monster,Primal Origin,PRIO-EN048,Rare (R)
Number C5: Chaos Chimera Dragon,XYZ Monster,Dragons of Legend,DRLG-EN043,Super Rare (SR)
Number C5: Chaos Chimera Dragon,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN045,Common (C)
Number C65: King Overfiend,XYZ Monster,Shadow Specters,SHSP-EN048,Rare (R)
Number C69: Heraldry Crest of Horror,XYZ Monster,Legacy of the Valiant,LVAL-EN049,Rare (R)
Number C6: Chronomaly Chaos Atlandis,XYZ Monster,Premium Gold,PGLD-EN018,Gold Secret Rare (GScR)
Number C73: Abyss Supra Splash,XYZ Monster,Dragons of Legend,DRLG-EN041,Super Rare (SR)
Number C73: Abyss Supra Splash,XYZ Monster,Dragons of Legend: The Complete Series,DLCS-EN043,Common (C)
Number C80: Requiem in Berserk,XYZ Monster,Primal Origin,PRIO-EN046,Rare (R)
Number C88: Gimmick Puppet Disaster Leo,XYZ Monster,Premium Gold,PGLD-EN021,Gold Secret Rare (GScR)
Number C92: Heart-eartH Chaos Dragon,XYZ Monster,Battles of Legend: Armageddon,BLAR-EN069,Secret Rare (ScR)
Number C92: Heart-eartH Chaos Dragon,XYZ Monster,Legacy of the Valiant,LVAL-EN050,Rare (R)
Number C96: Dark Storm,XYZ Monster,Shadow Specters,SHSP-EN046,Super Rare (SR)
Number C96: Dark Storm,XYZ Monster,Shadow Specters,SHSP-EN046,Ultimate Rare (UtR)
Number C9: Chaos Dyson Sphere,XYZ Monster,Premium Gold,PGLD-EN022,Gold Secret Rare (GScR)
Number F0: Utopic Future,XYZ Monster,Legendary Duelists: Magical Hero,LED6-EN039,Common (C)
Number F0: Utopic Future,XYZ Monster,World Superstars,WSUP-EN026,Prismatic Secret Rare (PScR)
Number F0: Utopic Future - Future Slash,XYZ Monster,,,
Number F0: Utopic Future Dragon,XYZ Monster,,,
Number S0: Utopic ZEXAL,XYZ Monster,Maximum Crisis: Special Edition,MACR-ENSE2,Super Rare (SR)
Number S0: Utopic ZEXAL,XYZ Monster,Weekly Shonen Jump July 2016 membership promotional card,JUMP-EN077,Ultra Rare (UR)
Number S39: Utopia Prime,XYZ Monster,2016 Mega-Tin Mega Pack,MP16-EN043,Super Rare (SR)
Number S39: Utopia Prime,XYZ Monster,Crossed Souls,CROS-EN094,Super Rare (SR)
Number S39: Utopia the Lightning,XYZ Monster,Battles of Legend: Armageddon,BLAR-EN070,Ultra Rare (UR)
Number S39: Utopia the Lightning,XYZ Monster,Legendary Collection Kaiba Mega Pack,LCKC-EN087,Secret Rare (ScR)
Number S39: Utopia the Lightning,XYZ Monster,Maximum Gold,MAGO-EN034,Premium Gold Rare 
Number S39: Utopia the Lightning,XYZ Monster,OTS Tournament Pack 4,OP04-EN001,Ultimate Rare (UtR)
Number S39: Utopia the Lightning,XYZ Monster,The Dark Illusion: Special Edition,TDIL-ENSE2,Super Rare (SR)
Number S39: Utopia the Lightning,XYZ Monster,Yu-Gi-Oh! ZEXAL Volume 8 promotional card,YZ08-EN001,Ultra Rare (UR)
Number Wall,Trap Card,Number Hunters,NUMH-EN058,Secret Rare (ScR)
Number XX: Utopic Dark Infinity,XYZ Monster,2020 Tin of Lost Memories Mega Pack,MP20-EN094,Super Rare (SR)
Number XX: Utopic Dark Infinity,XYZ Monster,Dark Neostorm,DANE-EN093,Ultra Rare (UR)
Numbers Overlay Boost,Trap Card,Shadow Specters,SHSP-EN071,Common (C)
Numbing Grub in the Ice Barrier,Effect Monster,Duel Terminal 1,DT01-EN066,Duel Terminal Rare Parallel Rare (DRPR)
Numbing Grub in the Ice Barrier,Effect Monster,Gold Series 3,GLD3-EN031,Common (C)
Numen erat Testudo,Effect Monster,Order of Chaos,ORCS-EN038,Short Print (SP)
Numeral Hunter,Effect Monster,World Superstars,WSUP-EN021,Prismatic Secret Rare (PScR)
Numeron Calling,Spell Card,Battles of Legend: Armageddon,BLAR-EN027,Secret Rare (ScR)
Numeron Network,Spell Card,Battles of Legend: Armageddon,BLAR-EN026,Secret Rare (ScR)
Numeron Wall,Effect Monster,Battles of Legend: Armageddon,BLAR-EN020,Ultra Rare (UR)
Numinous Healer,Trap Card,Dark Beginning 1,DB1-EN079,Common (C)
Numinous Healer,Trap Card,Pharaoh's Servant,PSV-023,Short Print (SP)
Numinous Healer,Trap Card,Pharaoh's Servant,PSV-E023,Short Print (SP)
Numinous Healer,Trap Card,Pharaoh's Servant,PSV-EN023,Short Print (SP)
Nurse Dragonmaid,Effect Monster,Mystic Fighters,MYFI-EN014,Secret Rare (ScR)
Nutrient Z,Trap Card,Legacy of Darkness,LOD-096,Common (C)
Nutrient Z,Trap Card,Legacy of Darkness,LOD-EN096,Common (C)
Nutrient Z,Trap Card,OTS Tournament Pack 8,OP08-EN024,Common (C)
Nutrient Z,Trap Card,OTS Tournament Pack 8 (POR),OP08-PT024,Common (C)
Nuvia the Wicked,Effect Monster,Dark Beginning 1,DB1-EN216,Common (C)
Nuvia the Wicked,Effect Monster,Labyrinth of Nightmare,LON-013,Rare (R)
Nuvia the Wicked,Effect Monster,Labyrinth of Nightmare,LON-E013,Rare (R)
Nuvia the Wicked,Effect Monster,Labyrinth of Nightmare,LON-EN013,Rare (R)
O - Oversoul,Spell Card,Dark Revelation Volume 4,DR04-EN221,Common (C)
O - Oversoul,Spell Card,Duelist Pack: Jaden Yuki 2,DP03-EN019,Common (C)
O - Oversoul,Spell Card,Enemy of Justice,EOJ-EN041,Common (C)
O - Oversoul,Spell Card,HERO Strike Structure Deck,SDHS-EN031,Common (C)
O - Oversoul,Spell Card,Legendary Collection 2: The Duel Academy Years Mega Pack,LCGX-EN091,Common (C)
O - Oversoul,Spell Card,Ra Yellow Mega Pack,RYMP-EN026,Secret Rare (ScR)
Oafdragon Magician,Pendulum Effect Monster,Master of Pendulum Structure Deck,SDMP-EN004,Super Rare (SR)
Oafdragon Magician,Pendulum Effect Monster,Pendulum Evolution,PEVO-EN016,Super Rare (SR)
Oasis of Dragon Souls,Trap Card,OTS Tournament Pack 3,OP03-EN013,Super Rare (SR)
Oasis of Dragon Souls,Trap Card,Rise of the True Dragons Structure Deck,SR02-EN040,Common (C)
Oasis of Dragon Souls,Trap Card,The New Challengers,NECH-EN077,Rare (R)
Oath of Companionship,Trap Card,Legacy of the Valiant,LVAL-EN079,Rare (R)
Obedience Schooled,Spell Card,2014 Mega-Tin Mega Pack,MP14-EN242,Super Rare (SR)
Obedience Schooled,Spell Card,Battles of Legend: Armageddon,BLAR-EN071,Ultra Rare (UR)
Obedience Schooled,Spell Card,Legacy of the Valiant,LVAL-EN088,Super Rare (SR)
Obelisk the Tormentor,Effect Monster,2016 Mega-Tins,CT13-EN002,Secret Rare (ScR)
Obelisk the Tormentor,Effect Monster,2019 Gold Sarcophagus Tin,TN19-EN007,Prismatic Secret Rare (PScR)
Obelisk the Tormentor,Effect Monster,Battle Pack 2: War of the Giants,BP02-EN125,Mosaic Rare (MSR)
Obelisk the Tormentor,Effect Monster,Battle Pack: Epic Dawn,BP01-EN021,Rare (R)
Obelisk the Tormentor,Effect Monster,Battle Pack: Epic Dawn,BP01-EN021,Starfoil Rare (SFR)
Obelisk the Tormentor,Effect Monster,Gold Series 4: Pyramids Edition,GLD4-EN030,Gold Rare (GUR)
Obelisk the Tormentor,Effect Monster,Legendary Decks II,LDK2-ENS02,Ultra Rare (UR)
Obelisk the Tormentor,Effect Monster,Premium Gold,PGLD-EN030,Gold Secret Rare (GScR)
Obelisk the Tormentor,Effect Monster,"Shonen Jump Vol. 8, Issue 1 promotional card",JUMP-EN037,Ultra Rare (UR)
Obelisk the Tormentor,Effect Monster,WSJ Jump Pack Spring 2017 promotional card,JMPS-EN004,Ultra Rare (UR)
Obelisk the Tormentor,Effect Monster,Yu-Gi-Oh! The Dark Side of Dimensions Blu-ray & DVD promotional card,MVPC-EN001,Gold Rare (GUR)
Obelisk the Tormentor,Effect Monster,Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition,MVP1-ENSV5,Ultra Rare (UR)
Obelisk the Tormentor,Effect Monster,Yu-Gi-Oh! The Dark Side of Dimensions Theater distribution cards,MVPC-EN001,Gold Secret Rare (GScR)
Obese Marmot of Nefariousness,Normal Monster,World Championship 2010 Card Pack,WCPP-EN003,Rare (R)
Obese Marmot of Nefariousness,Normal Monster,World Championship 2011 Card Pack,WP11-EN003,Super Rare (SR)
Obliterate!!!,Trap Card,Legendary Decks II,LDK2-ENY03,Ultra Rare (UR)
Obnoxious Celtic Guard,Effect Monster,Collectible Tins 2004,CT1-EN006,Secret Rare (ScR)
Obnoxious Celtic Guard,Effect Monster,Dark Beginning 2,DB2-EN112,Ultra Rare (UR)
Obnoxious Celtic Guard,Effect Monster,Legendary Collection 3: Yugi's World Mega Pack,LCYW-EN036,Common (C)
Obnoxious Celtic Guard,Effect Monster,Retro Pack 2,RP02-EN086,Rare (R)
Obnoxious Celtic Guard,Effect Monster,Structure Deck: Warrior's Triumph,SD5-EN007,Common (C)
Obnoxious Celtic Guard,Effect Monster,Structure Deck: Yugi Muto,SDMY-EN018,Common (C)
"Oboro-Guruma, the Wheeled Mayakashi",Synchro Monster,Hidden Summoners,HISU-EN032,Secret Rare (ScR)
Obsessive Uvualoop,Tuner Monster,Ignition Assault,IGAS-EN028,Common (C)
Obsidian Dragon,Effect Monster,Phantom Darkness,PTDN-EN023,Common (C)
Ocean Dragon Lord - Neo-Daedalus,Effect Monster,Structure Deck: Fury from the Deep,SD4-EN001,Ultra Rare (UR)
Ocean Dragon Lord - Neo-Daedalus,Effect Monster,World Championship 2010 Card Pack,WCPP-EN012,Rare (R)
Ocean's Keeper,Effect Monster,Tactical Evolution,TAEV-EN081,Rare (R)
Octoberser,Normal Monster,Magic Ruler,MRL-052,Common (C)
Octoberser,Normal Monster,Magic Ruler,MRL-E052,Common (C)
Octoberser,Normal Monster,Spell Ruler,SRL-052,Common (C)
Octoberser,Normal Monster,Spell Ruler,SRL-EN052,Common (C)
Ocubeam,Normal Monster,Metal Raiders,MRD-030,Common (C)
Ocubeam,Normal Monster,Metal Raiders,MRD-E030,Common (C)
Ocubeam,Normal Monster,Metal Raiders,MRD-EN030,Common (C)
Odd-Eyes Absolute Dragon,XYZ Monster,Legendary Dragon Decks,LEDD-ENC34,Common (C)
Odd-Eyes Absolute Dragon,XYZ Monster,Master of Pendulum Structure Deck,SDMP-EN042,Ultra Rare (UR)
Odd-Eyes Absolute Dragon,XYZ Monster,Pendulum Evolution,PEVO-EN033,Super Rare (SR)
Odd-Eyes Advance Dragon,Effect Monster,Duel Power,DUPO-EN011,Ultra Rare (UR)
Odd-Eyes Advent,Spell Card,Breakers of Shadow,BOSH-EN066,Rare (R)
Odd-Eyes Advent,Spell Card,Legendary Dragon Decks,LEDD-ENC15,Common (C)
Odd-Eyes Arc Pendulum Dragon,Pendulum Normal Monster,Legendary Dragon Decks,LEDD-ENC00,Ultra Rare (UR)
Odd-Eyes Dragon,Effect Monster,2-Player Starter Deck: Yuya & Declan,YS15-ENY03,Common (C)
Odd-Eyes Dragon,Effect Monster,Saber Force Starter Deck,YS15-ENF03,Shatterfoil Rare (SHR)
Odd-Eyes Dragon,Effect Monster,Space-Time Showdown Power-Up Pack,YS14-ENA01,Ultra Rare (UR)
Odd-Eyes Fusion,Spell Card,2016 Mega-Tin Mega Pack,MP16-EN149,Secret Rare (ScR)
Odd-Eyes Fusion,Spell Card,Dimension of Chaos,DOCS-EN063,Secret Rare (ScR)
Odd-Eyes Fusion,Spell Card,Legendary Dragon Decks,LEDD-ENC14,Common (C)
Odd-Eyes Fusion,Spell Card,Pendulum Evolution,PEVO-EN038,Super Rare (SR)
Odd-Eyes Gravity Dragon,Ritual Effect Monster,Breakers of Shadow,BOSH-EN043,Ultra Rare (UR)
Odd-Eyes Gravity Dragon,Ritual Effect Monster,Legendary Dragon Decks,LEDD-ENC12,Common (C)
Odd-Eyes Lancer Dragon,Effect Monster,Battles of Legend: Light's Revenge,BLLR-EN001,Ultra Rare (UR)
Odd-Eyes Meteorburst Dragon,Synchro Monster,Legendary Dragon Decks,LEDD-ENC31,Common (C)
Odd-Eyes Meteorburst Dragon,Synchro Monster,Master of Pendulum Structure Deck,SDMP-EN041,Ultra Rare (UR)
Odd-Eyes Meteorburst Dragon,Synchro Monster,Pendulum Evolution,PEVO-EN032,Super Rare (SR)
Odd-Eyes Mirage Dragon,Pendulum Effect Monster,Dragons of Legend: The Complete Series,DLCS-EN097,Common (C)
Odd-Eyes Mirage Dragon,Pendulum Effect Monster,Dragons of Legend: Unleashed,DRL3-EN001,Secret Rare (ScR)
Odd-Eyes Mirage Dragon,Pendulum Effect Monster,Legendary Dragon Decks,LEDD-ENC05,Common (C)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,2015 Mega-Tins,CT12-EN001,Platinum Secret Rare (PS)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Duel Power,DUPO-EN105,Ultra Rare (UR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Duelist Alliance,DUEA-EN004,Secret Rare (ScR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Duelist Alliance,DUEA-EN004,Ultimate Rare (UtR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Legendary Dragon Decks,LEDD-ENC01,Common (C)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Legendary Dragon Decks,LEDD-ENC01,Ultra Rare (UR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Master of Pendulum Structure Deck,SDMP-EN009,Common (C)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Pendulum Evolution,PEVO-EN023,Super Rare (SR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Star Pack ARC-V,SP15-EN012,Shatterfoil Rare (SHR)
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,Starter Deck: Yuya,YS16-EN008,Common (C)
Odd-Eyes Persona Dragon,Pendulum Effect Monster,Legendary Dragon Decks,LEDD-ENC04,Common (C)
Odd-Eyes Persona Dragon,Pendulum Effect Monster,Weekly Shonen Jump January 2017 membership promotional card,JUMP-EN079,Ultra Rare (UR)
Odd-Eyes Phantasma Dragon,Pendulum Effect Monster,Yu-Gi-Oh! ARC-V Volume 5 promotional card,YA05-EN001,Ultra Rare (UR)
Odd-Eyes Phantom Dragon,Pendulum Effect Monster,Legendary Dragon Decks,LEDD-ENC03,Common (C)
Odd-Eyes Phantom Dragon,Pendulum Effect Monster,Yu-Gi-Oh! ARC-V Volume 1 promotional card,YA01-EN001,Ultra Rare (UR)
